stn,date,temperature,wind_speed,precipitation
744860,2020-03-25,43.9,12,0
725030,2020-03-24,43.2,9.6,1.44
744860,2020-03-24,43.2,12.2,1.28
725030,2020-03-23,38.6,12.6,0
744860,2020-03-23,38.6,14.9,0
725030,2020-03-22,39.8,10.9,0
744860,2020-03-22,39.7,12.1,0
725030,2020-03-21,54.2,13.1,0
744860,2020-03-21,54.1,13.6,0
725030,2020-03-20,54.6,6.5,0.02
744860,2020-03-20,50,5.5,0.01
725030,2020-03-19,46.1,9.3,1
744860,2020-03-19,46.1,8.7,1.07
725030,2020-03-18,48.8,8.5,0.07
744860,2020-03-18,46.9,8.9,0.12
725030,2020-03-17,45.2,8.2,0.08
744860,2020-03-17,44.4,8.3,0.06
725030,2020-03-16,40.3,11.2,0
744860,2020-03-16,39.3,9.9,0
725030,2020-03-15,47.2,8.7,0
744860,2020-03-15,47,11.3,0
725030,2020-03-14,50.9,13.8,0.12
744860,2020-03-14,51.5,14.7,0.06
725030,2020-03-13,53.1,12,0.17
744860,2020-03-13,53.3,14.9,0.29
725030,2020-03-12,45.8,6.8,0
744860,2020-03-12,43.5,5.9,0
725030,2020-03-11,53.1,9.5,0
744860,2020-03-11,51.2,9.8,0
725030,2020-03-10,61,10.5,0
744860,2020-03-10,51.7,8.9,0
725030,2020-03-09,57.5,9.9,0
744860,2020-03-09,50.2,11.3,0
725030,2020-03-08,44.8,8.8,0
744860,2020-03-08,42.9,10.7,0
725030,2020-03-07,40.7,12.9,0.14
744860,2020-03-07,39.8,17.1,0.07
725030,2020-03-06,42.4,10.2,0
744860,2020-03-06,41.3,8.5,0
725030,2020-03-05,46.4,12,0
744860,2020-03-05,46.1,12.5,0
725030,2020-03-04,51.4,15.6,0.28
744860,2020-03-04,49.7,18,0.28
725030,2020-03-03,53.2,7.8,0.01
744860,2020-03-03,47.9,9.9,0
725030,2020-03-02,45.3,8,0
744860,2020-03-02,42.5,12.1,0
725030,2020-03-01,32.1,13.7,0
744860,2020-03-01,32.2,15.1,0
725030,2020-02-29,33.6,14.5,0
744860,2020-02-29,33.5,14.1,0
725030,2020-02-28,34.5,17.9,0.45
744860,2020-02-28,34.4,22.1,1
725030,2020-02-27,42.8,17.4,0.46
744860,2020-02-27,43.1,21.7,1.01
725030,2020-02-26,44.7,6.7,0.14
744860,2020-02-26,46.3,6.7,0.2
725030,2020-02-25,49.1,5.8,0
744860,2020-02-25,45.1,5,0
725030,2020-02-24,48.9,6.4,0
744860,2020-02-24,42.9,6.7,0
725030,2020-02-23,46.6,6.8,0
744860,2020-02-23,41.6,9.8,0
725030,2020-02-22,38.1,9.3,0
744860,2020-02-22,36.9,12.1,0
725030,2020-02-21,28.3,10.3,0
744860,2020-02-21,27.8,12,0
725030,2020-02-20,33.3,10.2,0
744860,2020-02-20,33.7,11.2,0
725030,2020-02-19,43.5,11.3,0
744860,2020-02-19,45,11.6,0
725030,2020-02-18,40.6,9.6,0
744860,2020-02-18,41.6,9.1,0
725030,2020-02-17,43.4,4.7,0
744860,2020-02-17,40.8,3.7,0
725030,2020-02-16,34.2,7.9,0
744860,2020-02-16,34.5,11.8,0
725030,2020-02-15,21.5,8.7,0
744860,2020-02-15,21.2,9.8,0
725030,2020-02-14,34.9,15.5,0
744860,2020-02-14,35.7,15.1,0.12
725030,2020-02-13,39.4,6.2,0.52
744860,2020-02-13,40.1,6.3,0.31
725030,2020-02-12,42.5,11.5,0.13
744860,2020-02-12,43,12.8,0.14
725030,2020-02-11,43.8,6,0.54
744860,2020-02-11,45,5.4,0.55
725030,2020-02-10,43.3,8.8,0.02
744860,2020-02-10,43.4,13.7,0.02
725030,2020-02-09,34.9,9,0
744860,2020-02-09,36.7,7.7,0
725030,2020-02-08,34.4,14.9,0.16
744860,2020-02-08,35.2,15,0.15
725030,2020-02-07,40.5,13.3,0.19
744860,2020-02-07,42.5,14.1,0.19
725030,2020-02-06,38.3,9.4,0.5
744860,2020-02-06,40.5,7,0
725030,2020-02-05,44.4,7.6,0.01
744860,2020-02-05,43.8,8.1,0.03
725030,2020-02-04,46.4,5.3,0
744860,2020-02-04,45.3,5.2,0
725030,2020-02-03,44.1,7.7,0.05
744860,2020-02-03,42.2,9.7,0.01
725030,2020-02-02,39.1,7.1,0.02
744860,2020-02-02,39.4,8.1,0.04
725030,2020-02-01,38.8,4.6,0.01
744860,2020-02-01,38.9,4.1,0.02
725030,2020-01-31,35.6,5.4,0
744860,2020-01-31,36.4,5.2,0
725030,2020-01-30,30.8,8.2,0
744860,2020-01-30,31.3,7.2,0
725030,2020-01-29,36.2,11.6,0
744860,2020-01-29,37,14.1,0
725030,2020-01-28,39.6,13.5,0
